OBJECTID,Field1,UN1,E,N,Ellps Height (m),Latitude,Longitude,gravity Geoid Height (m),UN
71,26SL-453-046,-95.646,515803,686777,-55.912,8.68977,80.9173,-94.36,1.286
72,26SL-453-057,-95.683,519420,687871,-45.84,8.69965,80.9502,-94.32,1.363
73,26SL-453-067,-95.703,520957,690206,-51.689,8.72075,80.9642,-94.33,1.373
74,26SL-453-081,-95.636,520796,685193,-41.864,8.67543,80.9627,-94.29,1.346
75,27PL-301-004,-94.727,601830,579669,-91.687,7.72026,81.6968,-93.47,1.257
76,27PL-301-018,-94.886,596104,582954,-93.607,7.75007,81.645,-93.58,1.306
77,27PL-301-030,-94.992,590974,586176,-92.709,7.7793,81.5985,-93.71,1.282
78,27PL-301-038,-95.082,588265,584907,-91.727,7.76787,81.574,-93.76,1.322
79,27PL-302-010,-95.095,586684,590134,-92.091,7.81516,81.5597,-93.82,1.275
80,27PL-302-020,-95.116,584772,594607,-91.035,7.85564,81.5425,-93.86,1.256
81,27PL-302-031,-95.13,583898,599966,-91.619,7.90411,81.5346,-93.86,1.27
82,27PL-351-001,-94.91,582433,605017,-88.809,7.9498,81.5214,-93.86,1.05
83,27PL-351-006,-94.927,582097,606615,-92.511,7.96426,81.5184,-93.86,1.067
84,27PL-351-009,-94.886,581694,607808,-92.477,7.97505,81.5148,-93.86,1.026
85,27PL-351-015,-94.93,580664,609534,-92.782,7.99067,81.5055,-93.87,1.06
86,27PL-351-021,-94.933,578746,611829,-91.959,8.01145,81.4881,-93.89,1.043
87,27PL-351-027,-94.951,577066,614345,-91.621,8.03423,81.4729,-93.92,1.031
88,27PL-351-034,-95.023,575684,616471,-91.735,8.05348,81.4604,-93.94,1.083
89,27PL-351-041,-95.031,574261,619718,-92.594,8.08286,81.4475,-93.96,1.071
90,27PL-351-047,-95.054,573298,621813,-92.212,8.10181,81.4388,-93.97,1.084
91,27PL-351-054,-95.061,573123,624517,-92.753,8.12627,81.4373,-93.98,1.081
