OBJECTID,Field1,UN1,E,N,Ellps Height (m),Latitude,Longitude,gravity Geoid Height (m),UN
306,61PL-313-030,-96.378,446074,514920,-63.938,7.13547,80.2855,-95.04,1.338
307,61PL-313-042,-96.351,447511,520370,-36.875,7.18476,80.2985,-94.96,1.391
308,61PL-324-006,-96.392,445850,503241,-66.131,7.02985,80.2836,-95.1,1.292
309,61PL-324-014,-96.194,447883,501701,-60.434,7.01595,80.302,-94.98,1.214
310,61PL-324-023,-96.069,450152,499641,-58.743,6.99734,80.3226,-94.83,1.239
311,61PL-324-047,-95.501,459714,499703,-33.915,6.99797,80.4091,-94.05,1.451
312,61TL-025-016,-96.7,438234,504675,36.785,7.04274,80.2147,-95.51,1.19
313,61TL-025-025,-96.752,436739,507807,-16.599,7.07105,80.2011,-95.55,1.202
314,61TL-033-009,-95.885,453900,524106,103.008,7.2186,80.3563,-94.66,1.225
315,61TL-033-020,-95.832,454440,519539,31.428,7.17731,80.3612,-94.58,1.252
316,61TL-033-042,-96.085,450677,515107,-1.405,7.1372,80.3272,-94.78,1.305
317,61TL-033-053,-95.992,450718,510839,-55.583,7.0986,80.3276,-94.78,1.212
318,61TL-050-002,-96.03,452299,527889,73.835,7.2528,80.3418,-94.79,1.24
319,61TL-050-014,-95.745,458237,528326,17.016,7.2568,80.3955,-94.48,1.265
320,61TL-050-027,-95.463,463608,528038,110.217,7.25423,80.4442,-94.15,1.313
321,61TL-050-036,-95.22,467513,527555,116.183,7.24989,80.4795,-93.88,1.34
322,62PL_329_28,-93.831,505893,471077,689.172,6.739241,80.827047,-92.56,1.271
323,62PL-329-028,-93.941,505893,471077,689.062,6.73924,80.827,-92.56,1.381
324,62PL-329-034,-94.063,503860,469752,617.84,6.72726,80.8087,-92.68,1.383
325,62PL-329-052,-94.112,498444,467460,457.639,6.70654,80.7597,-92.9,1.212
326,62PL-332-006,-96.131,475726,455921,43.227,6.60214,80.5542,-94.53,1.601
327,62PL-332-011,-96.143,477589,454298,31.656,6.58747,80.5711,-94.52,1.623
328,62PL-332-017,-96.217,478358,451795,47.369,6.56483,80.578,-94.61,1.607
329,62PL-332-022,-96.261,479132,449839,87.332,6.54715,80.585,-94.64,1.621
330,62PL-332-028,-96.266,481145,447074,138.149,6.52215,80.6032,-94.68,1.586
331,62SL-416-001,-94.623,496860,465849,394.899,6.69197,80.7453,-93.08,1.543
332,62SL-416-008,-94.763,494760,463962,438.305,6.6749,80.7263,-93.3,1.463
333,62SL-416-031,-95.345,489185,459100,247.756,6.63092,80.6759,-93.81,1.535
334,62SL-416-042,-95.682,485603,457111,70.878,6.61293,80.6435,-94.05,1.632
335,62SL-416-054,-95.956,480473,456788,41.257,6.60999,80.5971,-94.26,1.696
336,62SL-416-067,-96.123,474743,458152,31.481,6.62231,80.5453,-94.45,1.673
337,62TL-015-008,-96.519,452916,467328,-81.588,6.70516,80.3478,-95.29,1.229
338,62TL-036-009,-96.839,439245,490548,-55.142,6.91501,80.224,-95.56,1.279
339,62TL-036-017,-96.771,441099,487202,-60.619,6.88477,80.2408,-95.47,1.301
340,62TL-036-030,-96.664,444796,482113,-71.225,6.83879,80.2743,-95.32,1.344
341,62TL-036-040,-96.811,444649,477817,-76.441,6.79994,80.273,-95.42,1.391
342,62TL-036-049,-96.472,444938,474927,-77.696,6.7738,80.2756,-95.48,0.992
343,62TL-036-052,-96.708,445634,472046,-76.524,6.74776,80.2819,-95.52,1.188
344,62TL-038-038,-97.391,438042,470201,-79.783,6.731,80.2133,-95.91,1.481
345,62TL-044-016,-97.155,444932,470811,-76.719,6.73658,80.2756,-95.58,1.575
346,71PL-300-004,-93.627,527730,495167,655.784,6.95703,81.0247,-92.2,1.427
347,71PL-300-009,-93.759,526834,497611,693.15,6.97914,81.0166,-92.22,1.539
348,71PL-300-019,-93.633,524542,503541,824.407,7.03277,80.9959,-92.33,1.303
349,71PL-300-024,-93.788,522056,506926,455.849,7.06339,80.9734,-92.36,1.428
350,71PL-300-035,-94.583,525625,519075,26.524,7.17324,81.0058,-93.09,1.493
351,71PL-300-038,-94.814,526477,523308,20.779,7.21152,81.0135,-93.28,1.534
352,71PL-300-041,-94.71,531093,523930,31.56,7.21712,81.0553,-93.41,1.3
353,71PL-306-002,-93.979,522299,477346,1298.793,6.7959,80.9755,-92.41,1.569
354,71PL-306-005,-93.886,523413,480058,1110.85,6.82042,80.9856,-92.24,1.646
355,71PL-306-009,-93.893,525323,481995,1080.326,6.83793,81.0029,-92.25,1.643
356,71PL-306-013,-93.947,527779,484957,872.89,6.8647,81.0251,-92.27,1.677
357,71PL-306-017,-93.817,530877,488215,800.616,6.89415,81.0531,-92.35,1.467
358,71PL-306-020,-93.708,530311,491640,695.114,6.92512,81.048,-92.28,1.428
359,71PL-307-010,-93.902,517430,473506,1047.474,6.76119,80.9314,-92.62,1.282
360,71PL-329-004,-93.867,513445,473911,886.562,6.76486,80.8954,-92.47,1.397
361,71PL-329-019,-93.708,508016,473932,687.836,6.76506,80.8463,-92.29,1.418
362,71TL-054-007,-92.894,513554,491733,992.886,6.92603,80.8964,-91.6,1.294
363,71TL-054-018,-92.988,516095,494439,980.765,6.95049,80.9194,-91.71,1.278
364,71TL-054-029,-92.788,518553,496886,1074.101,6.97261,80.9417,-91.84,0.948
365,71TL-055-004,-93.872,531111,501593,626.883,7.01513,81.0553,-92.48,1.392
366,71TL-055-016,-93.896,531829,504939,296.323,7.04538,81.0618,-92.62,1.276
367,71TL-055-024,-94.003,530760,507600,231.755,7.06945,81.0522,-92.7,1.303
368,71TL-055-030,-94.185,530327,510164,191.736,7.09264,81.0483,-92.8,1.385
369,71TL-055-038,-94.257,529902,512623,298.391,7.11488,81.0444,-92.9,1.357
370,71TL-055-051,-94.493,530783,517455,87.101,7.15857,81.0524,-93.13,1.363
371,71TL-055-062,-94.651,528008,521276,46.048,7.19314,81.0273,-93.24,1.411
372,71TL-057-021,-93.867,527926,479805,1264.668,6.81811,81.0264,-92.51,1.357
373,71TL-057-027,-94.02,529259,477927,1179.185,6.80112,81.0385,-92.74,1.28
374,71TL-057-043,-94.488,530278,474987,1180.308,6.77453,81.0477,-93.04,1.448
375,71TL-057-051,-94.653,529716,472994,895.132,6.75651,81.0426,-93.18,1.473
376,71TL-057-062,-94.687,527265,471549,640.145,6.74345,81.0204,-93.17,1.517
377,71TL-075-020,-92.816,506924,489951,1352.525,6.90992,80.8364,-91.32,1.496
378,71TL-075-031,-92.723,509937,488414,1134.104,6.89602,80.8637,-91.46,1.263
379,71TL-075-039,-92.969,512866,489031,1025.305,6.9016,80.8902,-91.58,1.389
380,71TL-075-049,-93.059,516506,489729,915.557,6.9079,80.9231,-91.75,1.309
381,71TL-075-058,-93.514,519604,490478,795.72,6.91466,80.9511,-91.87,1.644
382,71TL-075-068,-93.362,521679,491950,980.568,6.92797,80.9699,-91.94,1.422
383,71TL-075-086,-93.519,526825,493162,801.347,6.93891,81.0165,-92.14,1.379
384,72PL31-028,-96.584,540090,449585,3.256,6.54476,81.1363,-95.05,1.534
385,72PL-327-006,-95.578,560519,482350,83.721,6.84088,81.3213,-93.99,1.588
386,72PL-327-013,-95.587,558282,479697,46.208,6.81691,81.301,-94.04,1.547
387,72PL-327-020,-95.626,556591,477057,46.636,6.79306,81.2857,-94.11,1.516
388,72PL-327-036,-95.515,550597,472921,59.267,6.75571,81.2315,-94.2,1.315
389,72PL-327-041,-95.507,548174,472309,67.97,6.7502,81.2095,-94.18,1.327
390,72PL-327-045,-95.521,546199,471841,64.848,6.74598,81.1917,-94.16,1.361
391,72PL-327-051,-95.443,543305,471128,94.768,6.73955,81.1655,-94.1,1.343
392,72PL-327-055,-95.419,540818,470612,85.276,6.7349,81.143,-94.02,1.399
393,72PL-327-060,-95.367,538307,470436,86.39,6.73333,81.1203,-93.91,1.457
394,72PL-327-065,-95.165,535819,470182,96.179,6.73105,81.0977,-93.8,1.365
395,72PL-333-006,-95.496,563405,486833,69.603,6.88139,81.3475,-93.91,1.586
396,72PL-333-018,-95.407,564470,491948,75.59,6.92763,81.3572,-93.83,1.577
397,72PL-333-028,-95.52,568613,490186,66.893,6.91165,81.3946,-93.89,1.63
398,72PL-333-036,-95.546,570786,488158,35.107,6.89329,81.4143,-93.94,1.606
399,72PL-333-061,-95.611,581326,489725,2.224,6.90732,81.5097,-94.08,1.531
400,72PL-333-069,-95.643,585174,489465,-31.09,6.90491,81.5445,-94.12,1.523
401,72PL-333-080,-95.529,590554,490421,-29.351,6.91348,81.5932,-94.15,1.379
402,72TL-071-001,-95.12,556402,498150,145.135,6.9838,81.2842,-93.58,1.54
403,72TL-071-009,-95.166,556794,494741,103.715,6.95297,81.2877,-93.64,1.526
404,72TL-071-019,-95.362,557334,490472,85.532,6.91436,81.2926,-93.74,1.622
405,72TL-071-024,-95.445,557914,488212,77.533,6.89392,81.2978,-93.81,1.635
406,81SL-408-020,-99.377,445614,389005,-96.463,5.99681,80.2825,-98.29,1.087
407,81SL-408-031,-99.314,450921,387672,-96.992,5.9848,80.3304,-98.22,1.094
408,81SL-408-041,-99.388,455439,385875,-96.188,5.96858,80.3712,-98.24,1.148
409,82PL-336-004,-99.277,480660,381946,-96.15,5.93317,80.5991,-98.24,1.037
410,82PL-336-019,-98.955,485976,384721,-96.261,5.95828,80.6471,-97.92,1.035
411,82PL-336-028,-98.903,490156,385050,-96.198,5.96126,80.6848,-97.86,1.043
412,82SL-408-049,-99.339,460078,385196,-97.137,5.96247,80.4131,-98.21,1.129
413,82SL-408-066,-99.38,465945,382905,-90.285,5.94178,80.4662,-98.33,1.05
414,82SL-408-076,-99.347,470666,382963,-97.209,5.94233,80.5088,-98.27,1.077
415,82SL-408-082,-99.226,474980,383651,-97.342,5.94857,80.5478,-98.15,1.076
416,83PL-336-044,-98.545,495446,388783,-96.767,5.99503,80.7326,-97.55,0.995
417,83PL-336-057,-98.503,500850,390860,-90.914,6.01381,80.7814,-97.45,1.053
418,83PL-336-072,-98.225,505572,395498,-90.663,6.05575,80.8241,-97.2,1.025
419,83PL-336-099,-97.999,517056,401414,-96.267,6.10924,80.9278,-97,0.999
420,83PL-336-108,-98.033,521448,401457,-78.166,6.10961,80.9675,-97.04,0.993
421,83PL-336-116,-97.943,525114,402344,-93.515,6.11762,81.0006,-97.03,0.913
422,83SL-410-007,-97.335,550199,416379,-70.8807,6.2444,81.2274,-96.47,0.865
423,83SL-410-013,-97.546,546861,411901,-94.4902,6.20393,81.1972,-96.68,0.866
424,83SL-410-018,-97.659,543679,408233,-93.8425,6.17078,81.1684,-96.85,0.809
425,83SL-410-028,-97.763,534776,406415,-91.2507,6.15439,81.088,-96.87,0.893
426,83SL-410-036,-97.91,531347,402787,-93.1099,6.1216,81.057,-97.05,0.86
427,91PL-315-005,-98.577,425945,795407,-95.856,9.67138,80.0989,-97.36,1.217
428,91PL-315-015,-98.428,430886,794532,-93.385,9.66356,80.1439,-97.28,1.148
429,91PL-315-026,-98.359,435796,795640,-94.266,9.67365,80.1887,-97.22,1.139
430,91PL-315-031,-98.339,438198,796357,-95.643,9.68017,80.2105,-97.19,1.149
431,91PL-315-036,-98.266,440603,796239,-95.168,9.67914,80.2325,-97.14,1.126
432,91PL-315-042,-98.235,443248,794892,-95.789,9.667,80.2566,-97.1,1.135
433,91PL-315-048,-98.165,445817,793341,-94.254,9.65301,80.28,-97.06,1.105
434,91SL-404-004,-98.462,437963,810028,-93.722,9.80378,80.2082,-97.32,1.142
435,91SL-404-009,-98.555,435543,809382,-94.734,9.7979,80.1861,-97.36,1.195
436,91SL-404-014,-98.627,433181,809017,-95.912,9.79456,80.1646,-97.39,1.237
437,91SL-404-019,-98.705,430745,808418,-97.555,9.7891,80.1424,-97.42,1.285
438,91SL-404-028,-98.769,427667,804847,-96.706,9.75676,80.1144,-97.44,1.329
439,91SL-404-035,-98.755,425646,802117,-96.161,9.73205,80.0961,-97.44,1.315
440,91SL-404-041,-98.75,423650,799953,-96.732,9.71244,80.0779,-97.43,1.32
441,91SL-404-049,-98.747,420726,797418,-95.359,9.68947,80.0513,-97.43,1.317
442,91SL-404-070,-98.642,420497,794256,-95.435,9.66088,80.0493,-97.41,1.232
443,91SL-420-001,-98.389,439794,810388,-91.81,9.80706,80.2249,-97.3,1.089
444,91SL-420-007,-98.254,440462,812889,-95.107,9.82968,80.2309,-97.3,0.954
445,91SL-420-013,-98.285,438111,813477,-95.719,9.83496,80.2095,-97.33,0.955
446,91SL-420-018,-98.414,435808,812651,-95.345,9.82746,80.1885,-97.36,1.054
447,91SL-420-022,-98.55,433894,812246,-95.12,9.82377,80.1711,-97.39,1.16
448,91SL-420-028,-98.619,431009,812367,-92.947,9.82481,80.1448,-97.42,1.199
449,91SL-420-064,-98.788,415666,810931,-96.83,9.81154,80.0049,-97.44,1.348
450,91SL-420-069,-98.759,413152,810508,-97.566,9.80766,79.982,-97.42,1.339
451,91SL-420-074,-98.8,410709,809536,-96.873,9.79882,79.9598,-97.39,1.41
452,91SL-420-081,-98.792,408000,807510,-97.716,9.78045,79.9351,-97.37,1.422
453,91SL-420-088,-98.771,405984,804830,-96.227,9.75617,79.9168,-97.36,1.411
454,91SL-420-098,-98.78,409063,801948,-96.58,9.73018,79.9449,-97.41,1.37
455,91SL-420-102,-98.753,410455,800835,-95.96,9.72015,79.9576,-97.43,1.323
456,91SL-420-110,-98.71,413550,798025,-97.729,9.69481,79.9859,-97.45,1.26
457,91SL-420-119,-98.708,415464,794785,-97.718,9.66556,80.0034,-97.44,1.268
458,91SL-448-001,-98.565,424587,794255,-96.296,9.66094,80.0865,-97.36,1.205
459,91SL-448-006,-98.516,426365,793819,-95.853,9.65703,80.1028,-97.34,1.176
460,91SL-448-011,-98.464,428631,792693,-96.635,9.64689,80.1234,-97.29,1.174
461,91SL-448-016,-98.411,430733,791502,-97.034,9.63616,80.1426,-97.25,1.161
462,91SL-448-021,-98.379,432544,789813,-96.801,9.62092,80.1591,-97.21,1.169
463,91SL-448-027,-98.354,434001,787942,-97.095,9.60402,80.1724,-97.18,1.174
464,91SL-448-030,-98.352,434905,786688,-96.982,9.5927,80.1807,-97.16,1.192
465,91SL-448-036,-98.322,436981,784772,-96.868,9.57541,80.1996,-97.12,1.202
466,91TL-072-012,-98.839,417489,800427,-91.463,9.71661,80.0218,-97.46,1.379
467,91TL-072-022,-98.699,417785,796606,-92.779,9.68207,80.0245,-97.44,1.259
468,91TL-117-001,-98.762,418796,809540,-93.135,9.79903,80.0335,-97.46,1.302
469,91TL-117-006,-98.746,418438,807049,-91.516,9.7765,80.0303,-97.47,1.276
470,91TL-117-012,-98.748,418298,804689,-94.759,9.75516,80.029,-97.47,1.278
471,91TL-117-019,-98.664,417709,801504,-91.746,9.72635,80.0237,-97.46,1.204
472,91TL-118-006,-98.742,423553,807541,-89.748,9.78105,80.0769,-97.47,1.272
473,91TL-118-012,-98.726,422017,804978,-93.449,9.75784,80.0629,-97.47,1.256
474,91TL-118-018,-98.684,420552,802370,-94.473,9.73424,80.0496,-97.46,1.224
475,91TL-118-025,-98.722,419226,799167,-90.297,9.70525,80.0376,-97.45,1.272
476,91TL-119-002,-98.75,422675,809814,-92.646,9.80158,80.0688,-97.47,1.28
477,91TL-122-001,-98.744,406171,803480,-97.953,9.74397,79.9185,-97.37,1.374
478,91TL-122-004,-98.752,404684,803298,-98.06,9.74229,79.905,-97.35,1.402
479,91TL-122-007,-98.731,402974,802946,-97.137,9.73907,79.8894,-97.32,1.411
480,91TL-129-004,-98.736,401530,801058,-94.815,9.72196,79.8763,-97.3,1.436
481,91TL-129-008,-98.718,400403,799659,-97.552,9.70929,79.8661,-97.29,1.428
482,91TL-129-012,-98.726,400090,801624,-95.908,9.72705,79.8632,-97.27,1.456
483,91TL-129-016,-98.943,400774,803330,-96.63,9.74249,79.8694,-97.28,1.663
484,92PL-316-056,-98.173,448693,790554,-94.057,9.62785,80.3062,-97.02,1.153
485,92PL-316-065,-98.09,452243,787766,-93.692,9.60268,80.3386,-96.96,1.13
486,92PL-316-074,-97.996,455799,785147,-92.865,9.57904,80.371,-96.92,1.076
487,92PL-316-079,-97.951,457959,783898,-93.604,9.56777,80.3907,-96.9,1.051
488,92PL-316-086,-97.924,459008,781094,-96.016,9.54243,80.4003,-96.86,1.064
489,92PL-316-092,-97.887,459628,778220,-95.201,9.51645,80.406,-96.82,1.067
490,92PL-316-099,-97.836,459742,774749,-96.285,9.48507,80.4071,-96.76,1.076
491,92PL-316-104,-97.827,459770,772293,-93.098,9.46286,80.4073,-96.71,1.117
492,92PL-316-109,-97.791,459799,769755,-90.016,9.43991,80.4076,-96.66,1.131
493,92PL-316-115,-97.693,459818,766782,-86.213,9.41303,80.4078,-96.59,1.103
494,92PL-316-124,-97.644,459909,762288,-70.984,9.3724,80.4087,-96.48,1.164
495,92PL-316-129,-97.59,459940,759801,-67.247,9.34991,80.409,-96.42,1.17
496,92SL-430-087,-97.843,429054,744706,-94.434,9.21303,80.1281,-96.67,1.173
497,92SL-430-091,-97.853,429523,746430,-91.166,9.22862,80.1323,-96.69,1.163
498,92SL-448-041,-98.315,436627,782178,-96.902,9.55195,80.1964,-97.1,1.215
499,92SL-448-046,-98.306,436027,779952,-95.588,9.53181,80.191,-97.09,1.216
500,92SL-448-050,-98.269,437279,778525,-96.231,9.51893,80.2024,-97.06,1.209
501,93C80939,-96.21,500401,715747,-75.386,8.95175,80.7774,-95,1.21
502,93C80949,-96.156,505467,717543,-83.769,8.96799,80.8234,-95.02,1.136
503,93C80960,-96.19,510177,720296,-91.698,8.99287,80.8663,-95.08,1.11
504,93PL-317-144,-97.442,460068,752334,-44.611,9.28239,80.4102,-96.24,1.202
505,93PL-317-155,-97.339,460684,746744,-47.544,9.23185,80.4159,-96.12,1.219
506,93PL-317-162,-97.24,461120,743434,-42.098,9.20193,80.4199,-96.04,1.2
507,93PL-317-175,-97.156,463098,737371,-40.897,9.14713,80.438,-95.91,1.246
508,93SL-430-009,-97.336,460471,735453,-25.541,9.12976,80.4141,-95.91,1.426
509,93SL-430-019,-97.376,455630,736054,-34.826,9.13515,80.37,-95.99,1.386
510,93SL-430-024,-97.279,453296,736182,-43.122,9.13628,80.3488,-96.03,1.249
511,93SL-430-030,-97.34,450523,735194,-54.373,9.12732,80.3236,-96.04,1.3
512,93SL-430-035,-97.388,448522,736515,-55.682,9.13924,80.3053,-96.09,1.298
513,93SL-430-041,-97.443,445612,736851,-66.347,9.14224,80.2789,-96.14,1.303
514,93SL-430-060,-97.591,438993,739819,-65.688,9.16899,80.2186,-96.32,1.271
515,93SL-434-040,-96.625,486556,729729,-44.194,9.07816,80.6514,-95.41,1.215
516,93SL-434-050,-96.748,486204,734626,-57.612,9.12244,80.6482,-95.53,1.218
517,93SL-442-117,-96.179,506957,719801,-86.011,8.9884,80.837,-95.07,1.109
518,93SL-442-129,-96.289,508311,724960,-81.866,9.03505,80.8493,-95.19,1.099
519,93SL-442-139,-96.325,510833,728036,-69.016,9.06286,80.8723,-95.26,1.065
520,93SL-442-146,-96.401,512697,729889,-76.49,9.07961,80.8892,-95.31,1.091
521,93SL-442-156,-96.497,512696,733556,-80.234,9.11277,80.8892,-95.4,1.097
522,93SL-442-159,-96.527,512050,734722,-94.103,9.12331,80.8834,-95.43,1.097
523,93SL-442-164,-96.546,510740,736778,-94.085,9.14191,80.8714,-95.48,1.066
524,93SL-442-171,-96.616,508735,739470,-93.814,9.16625,80.8532,-95.55,1.066
525,93SL-442-176,-96.867,507821,741777,-91.203,9.18712,80.8449,-95.61,1.257
526,93SL-442-182,-96.823,506682,744474,-91.691,9.2115,80.8345,-95.69,1.133
527,93SL-442-188,-96.891,505850,747209,-92.592,9.23624,80.827,-95.76,1.131
528,93SL-442-193,-96.942,504855,749509,-90.984,9.25703,80.8179,-95.84,1.102
529,93SL-442-206,-96.907,504144,747670,-94.814,9.24041,80.8114,-95.78,1.127
530,93SL-445-041,-96.153,496074,714409,-66.993,8.93965,80.738,-95,1.153
531,94SL-430-067,-97.635,435860,740622,-66.078,9.1762,80.1901,-96.41,1.225
532,94SL-430-078,-97.804,430485,741841,-82.498,9.18714,80.1412,-96.57,1.234
533,94TL-062-029,-97.133,440757,690093,-60.972,8.71939,80.2353,-95.69,1.443
534,94TL-062-035,-97.047,445515,686502,-58.199,8.68698,80.2786,-95.6,1.447
535,95PL-352-007,-96.227,473226,692763,4.148,8.74384,80.5304,-94.94,1.287
536,95PL-352-013,-96.152,475590,691070,17.845,8.72855,80.5519,-94.87,1.282
537,95SL-432-008,-96.476,465404,694795,-2.973,8.76216,80.4593,-95.15,1.326
538,95SL-432-016,-96.627,461265,694532,-6.082,8.75975,80.4217,-95.26,1.367
539,95SL-432-022,-96.749,458356,694197,-14.846,8.7567,80.3952,-95.33,1.419
540,95SL-432-027,-96.863,455958,693767,-21.814,8.75279,80.3734,-95.38,1.483
541,95SL-432-038,-97.023,450522,694253,-20.634,8.75713,80.324,-95.51,1.513
542,95SL-432-049,-97.065,445520,695381,-31.401,8.76727,80.2785,-95.6,1.465
543,95SL-432-055,-97.063,442620,694596,-46.39,8.76013,80.2522,-95.65,1.413
544,95SL-432-061,-97.114,439616,694518,-55.668,8.75939,80.2249,-95.71,1.404
545,95SL-434-001,-96.641,473137,717629,-22.617,8.96869,80.5294,-95.35,1.291
546,95SL-434-009,-96.644,475713,720507,-30.865,8.99473,80.5528,-95.36,1.284
547,95SL-434-017,-96.622,478931,722621,-18.907,9.01386,80.5821,-95.35,1.272
548,95SL-434-025,-96.537,481980,724910,-3.567,9.03457,80.6098,-95.35,1.187
549,95SL-434-033,-96.587,485472,726535,-19.895,9.04928,80.6416,-95.35,1.237
550,95SL-445-002,-96.545,487712,727221,-50.438,9.05549,80.6619,-95.34,1.205
551,95SL-445-007,-96.526,488226,724869,-39.061,9.03422,80.6666,-95.28,1.246
552,95SL-445-012,-96.459,488537,722415,99.444,9.01203,80.6695,-95.22,1.239
553,95SL-445-018,-96.396,488929,719697,96.463,8.98746,80.673,-95.15,1.246
554,95SL-445-028,-96.191,489804,714702,97.23,8.94229,80.681,-95.04,1.151
555,95SL-445-033,-96.21,491942,714082,95.388,8.93669,80.7004,-95.01,1.2
556,95SL-445-037,-96.208,493724,714823,95.39,8.94339,80.7167,-95.02,1.188
557,A001,-98.775,416155,428857,-85.347,6.357,80.016,-97.73,1.045
558,A002,-99.193,420188,415094,-97.134,6.232,80.052,-98.05,1.143
559,A003,-98.651,432794,420681,-70.628,6.283,80.166,-97.43,1.221
560,A004,-98.215,438447,426175,-82.97,6.333,80.217,-96.99,1.225
561,A005,-97.32,454221,431310,-36.022,6.379,80.36,-96.12,1.2
562,A006,-97.717,460284,418346,-32.933,6.262,80.415,-96.48,1.237
563,A007,-98.508,445131,410596,-63.706,6.192,80.278,-97.36,1.148
564,A008,-99.358,425362,405682,-97.437,6.147,80.099,-98.24,1.118
565,A009,-99.444,438070,392714,-95.714,6.03,80.214,-98.33,1.114
566,A010,-98.907,448268,399483,-30.28,6.092,80.306,-97.66,1.247
567,A013,-99.442,465401,383216,-75.627,5.945,80.461,-98.3,1.142
568,A014,-98.369,466876,401611,-89.804,6.111,80.474,-97.12,1.249
569,A016,-96.463,485898,428901,561.935,6.358,80.646,-95.39,1.073
570,A017,-97.631,478779,411035,146.233,6.196,80.582,-96.51,1.121
571,A018,-98.975,489870,384915,-86.813,5.96,80.682,-97.87,1.105
572,A021,-97.942,497186,403838,-51.513,6.131,80.748,-96.75,1.192
573,A022,-97.39,485455,414573,44.218,6.228,80.642,-96.3,1.09
574,A023,-97.802,509794,407895,-53.862,6.168,80.862,-96.63,1.172
575,A024,-97.633,523562,400455,-66.378,6.101,80.987,-97.12,0.513
576,A025,-97.805,539183,404046,-88.001,6.133,81.128,-97.03,0.775
577,A027,-97.396,541083,415844,-46.339,6.24,81.145,-96.42,0.976
578,A028,-97.23,551375,422252,-70.516,6.298,81.238,-96.17,1.06
579,A032,-95.888,613999,488401,-90.899,6.895,81.805,-94.24,1.648
580,A037,-94.657,616243,545612,-93.658,7.412,81.827,-93.45,1.207
581,A038,-94.877,598831,533348,-65.655,7.301,81.669,-93.67,1.207
582,A039,-95.195,584487,520754,-15.142,7.188,81.539,-93.81,1.385
583,A040,-94.782,595082,552867,-67.777,7.478,81.635,-93.62,1.162
584,A041,-95.39,564070,558565,-39.46,7.53,81.354,-94.1,1.29
585,A042,-95.372,551978,545701,8.143,7.414,81.245,-94.1,1.272
586,A045,-94.853,550007,517780,143.569,7.161,81.226,-93.57,1.283
587,A047,-95.21,572961,509458,16.95,7.086,81.434,-93.77,1.44
588,A048,-95.493,585186,506264,7.219,7.057,81.545,-93.88,1.613
589,A049,-95.424,586613,491802,-12.779,6.926,81.558,-94.1,1.324
590,A050,-95.982,583606,474913,-18.525,6.773,81.53,-94.32,1.662
591,A051,-95.431,576198,489709,31.496,6.907,81.463,-94,1.431
592,A052,-95.191,566272,498089,98.452,6.983,81.374,-93.79,1.401
593,A053,-95.41,563039,483941,42.435,6.855,81.344,-93.97,1.44
594,A054,-95.888,562842,470417,29.785,6.733,81.342,-94.35,1.538
595,A055,-95.589,554142,474609,97.457,6.771,81.264,-94.17,1.419
596,A056,-95.16,535949,470036,102.236,6.73,81.099,-93.81,1.35
597,A057,-95.81,541571,461896,58.354,6.656,81.15,-94.52,1.29
598,A058,-96.528,558950,449046,16.519,6.54,81.307,-95.04,1.488
599,A060,-96.797,539803,437318,-27.127,6.434,81.134,-95.47,1.327
600,A061,-96.74,527484,436878,-6.632,6.43,81.022,-95.46,1.28
601,A062,-96.212,520587,448371,29.847,6.534,80.96,-94.9,1.312
602,A063,-96.745,511975,438265,10.18,6.443,80.882,-95.34,1.405
603,A065,-97.132,508349,426329,-27.185,6.335,80.849,-95.88,1.252
604,A066,-96.073,498401,438044,8.41,6.441,80.759,-95.17,0.903
605,A068,-93.835,506214,470826,664.551,6.73697,80.829967,-92.6,1.235
606,A069,-94.882,492501,461522,511.912,6.653,80.706,-93.55,1.332
607,A070,-96.069,481906,441198,321.798,6.469,80.61,-94.8,1.269
608,A071,-96.326,471281,437191,346.123,6.433,80.514,-95.11,1.216
609,A072,-95.602,476412,458559,156.074,6.626,80.56,-94.34,1.262
610,A074,-96.455,450488,479049,-68.697,6.811,80.326,-95.06,1.395
611,A075,-96.643,444846,470884,-80.404,6.737,80.275,-95.58,1.063
612,A076,-96.361,457204,466288,26.643,6.696,80.387,-95.09,1.271
613,A077,-96.659,458388,447354,167.314,6.525,80.397,-95.46,1.199
614,A078,-97.569,445036,441407,-12.837,6.471,80.277,-96.23,1.339
615,A079,-97.983,435002,439682,-70.581,6.455,80.186,-96.72,1.263
616,A080,-98.403,425318,437451,-57.171,6.435,80.099,-97.15,1.253
617,A081,-97.537,433977,461415,-80.546,6.652,80.177,-96.29,1.247
618,A082,-98.549,409537,454156,-95.578,6.586,79.956,-97.37,1.179
619,A083,-98.506,402933,470457,-95.122,6.733,79.896,-97.34,1.166
620,A084,-97.908,421342,468376,-83.904,6.714,80.062,-96.69,1.218
621,A085,-97.299,432697,474097,-65.325,6.766,80.165,-96.09,1.209
622,A086,-97.383,428123,489188,-82.132,6.903,80.123,-96.14,1.243
623,A087,-97.904,417693,483356,-72.248,6.85,80.029,-96.62,1.284
624,A088,-98.294,408187,476002,-78.903,6.783,79.943,-97.05,1.244
625,A090,-98.526,401604,480942,-92.971,6.828,79.884,-97.23,1.296
626,A092,-97.821,416619,491545,-89.749,6.924,80.019,-96.59,1.231
627,A093,-98.085,426088,490474,-87.064,6.914,80.105,-96.22,1.865
628,A095,-97.195,429340,505351,-58.395,7.049,80.134,-95.94,1.255
629,A096,-97.704,417212,504097,-70.607,7.037,80.024,-96.49,1.214
